iso2,iso3,kyc_score,eval_kyc_score,basel_score,eval_basel_score,corruption_perception,eval_corruption_perception,gray_or_black_list,attention_factor
MX,MEX,64.55,1.55,5.09,1.05,31,3.23,0,1.470982
UA,UKR,57.19,1.75,5.21,1.05,33,3.03,0,1.471827
MR,MRT,75.13,1.33,8.13,1.08,29,3.45,0,1.476767
TG,TGO,72.78,1.37,5,1.05,29,3.45,0,1.478713
KE,KEN,61.83,1.62,5,1.05,31,3.23,0,1.482191
BO,BOL,59.83,1.67,5,1.05,31,3.23,0,1.491201
AZ,AZE,61.63,1.62,5,1.05,30,3.33,0,1.500987
PG,PNG,71.98,1.39,5,1.05,27,3.70,0,1.523830
DO,DOM,65.3,1.53,4.72,1.05,28,3.57,0,1.525004
RU,RUS,56.2,1.78,5.49,1.05,30,3.33,0,1.527932
LA,LAO,58.94,1.70,5,1.05,29,3.45,0,1.532486
PY,PRY,62.25,1.61,5,1.05,28,3.57,0,1.537976
GN,GIN,61.62,1.62,5,1.05,28,3.57,0,1.540713
AO,AGO,66.74,1.50,5,1.05,27,3.70,0,1.542009
DJ,DJI,66.24,1.51,5,1.05,27,3.70,0,1.543894
BD,BGD,70.13,1.43,5.84,1.06,26,3.85,0,1.555080
LR,LBR,56.34,1.77,5,1.05,28,3.57,0,1.566061
UZ,UZB,64.8,1.54,5,1.05,26,3.85,0,1.573227
MG,MDG,73.04,1.37,7.4,1.07,25,4.00,0,1.573852
CM,CMR,71.32,1.40,5,1.05,25,4.00,0,1.575355
GT,GTM,64.54,1.55,5.12,1.05,25,4.00,0,1.600104
TJ,TJK,64.83,1.54,5.97,1.06,25,4.00,0,1.600366
CF,CAF,56.57,1.77,5,1.05,26,3.85,0,1.610646
NG,NGA,61.73,1.62,5,1.05,25,4.00,0,1.611660
MZ,MOZ,62.6,1.60,7.71,1.08,25,4.00,0,1.612424
HN,HND,64.15,1.56,5.52,1.06,24,4.17,0,1.630119
BW,BWA,72.38,1.38,4.87,1.05,60,1.67,1,1.682827
LB,LBN,46.08,2.17,5,1.05,25,4.00,0,1.703356
TD,TCD,70.27,1.42,5,1.05,21,4.76,0,1.705831
BS,BHS,60.43,1.65,6.46,1.06,63,1.59,1,1.717785
ER,ERI,64.19,1.56,5,1.05,21,4.76,0,1.728297
KM,COM,63.77,1.57,5,1.05,21,4.76,0,1.730007
MT,MLT,63.73,1.57,5.45,1.05,53,1.89,1,1.751735
JO,JOR,55.37,1.81,5.6,1.06,60,1.67,1,1.754783
BB,BRB,50.14,1.99,5.82,1.06,64,1.56,1,1.769186
CG,COG,70.6,1.42,5,1.05,19,5.26,0,1.788265
KY,CYM,55.23,1.81,7.66,1.08,50,2.00,1,1.814535
PS,PSE,55.54,1.80,10,1.10,20,5.00,0,1.816751
TM,TKM,62.49,1.60,5,1.05,19,5.26,0,1.818902
GH,GHA,63.29,1.58,4.88,1.05,43,2.33,1,1.825735
IQ,IRQ,43.71,2.29,5,1.05,21,4.76,0,1.849952
BI,BDI,54.64,1.83,5,1.05,19,5.26,0,1.857220
BF,BFA,62.8,1.59,6.77,1.07,40,2.50,1,1.860009
SN,SEN,52.06,1.92,7.25,1.07,45,2.22,1,1.869264
JM,JAM,49.64,2.01,5.77,1.06,44,2.27,1,1.890822
GW,GNB,47.99,2.08,5,1.05,19,5.26,0,1.899488
CD,COD,54.81,1.82,8.35,1.08,18,5.56,0,1.910590
MA,MAR,50.31,1.99,5.32,1.05,40,2.50,1,1.923479
AL,ALB,53.61,1.87,5.72,1.06,36,2.78,1,1.950050
GQ,GNQ,70.01,1.43,5,1.05,16,6.25,0,1.954728
TR,TUR,40.98,2.44,5.7,1.06,40,2.50,1,1.999536
PH,PHL,46,2.17,5.76,1.06,34,2.94,1,2.028782
PA,PAN,43.84,2.28,6,1.06,35,2.86,1,2.033027
LY,LBY,44.62,2.24,10,1.10,17,5.88,0,2.037250
SD,SDN,55.43,1.80,20,1.20,16,6.25,0,2.042346
UG,UGA,59.41,1.68,7.18,1.07,27,3.70,1,2.076454
PK,PAK,44.84,2.23,6,1.06,31,3.23,1,2.085993
ML,MLI,45.05,2.22,7.37,1.07,30,3.33,1,2.104465
VE,VEN,45.76,2.19,10,1.10,15,6.67,0,2.158664
MM,MMR,36.3,2.75,7.83,1.08,28,3.57,1,2.234092
ZW,ZWE,44.16,2.26,6.79,1.07,24,4.17,1,2.249843
KH,KHM,53.39,1.87,7.13,1.07,21,4.76,1,2.284369
NI,NIC,37.65,2.66,6.75,1.07,22,4.55,1,2.378166
SO,SOM,38,2.63,10,1.10,12,8.33,0,2.510819
AF,AFG,32.1,3.12,5,1.05,19,5.26,1,2.571404
HT,HTI,33.24,3.01,8.49,1.08,18,5.56,1,2.608147
YE,YEM,32.89,3.04,10,1.10,15,6.67,1,2.801184
SY,SYR,34.89,2.87,10,1.10,14,7.14,1,2.851501
SS,SSD,36.18,2.76,10,1.10,12,8.33,1,3.032882
IR,IRN,17.83,5.61,10,1.10,25,4.00,2,3.284754
KP,PRK,20.93,4.78,10,1.10,20,5.00,2,3.312972
